Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2016,F,35-44,White Non Hispanic,Accidents,171
2016,F,65-74,Black Non Hispanic,Cerebrovascular Disease,80
2016,M,19-Oct,Hispanic,Malignant Neoplasms,9
2016,F,85+,White Non Hispanic,Malignant Neoplasms,"2,961"
2016,M,19-Oct,Black Non Hispanic,Diseases of the Heart,3
2016,M,75-84,Black Non Hispanic,Malignant Neoplasms,496
2016,M,45-54,Black Non Hispanic,Pneumonia,15
2016,M,75-84,Other Non Hispanic,Diabetes Mellitus,5
2016,M,35-44,Other Non Hispanic,Total,105
2016,F,75-84,White Non Hispanic,AIDS,1
2016,M,65-74,Black Non Hispanic,Diabetes Mellitus,22
2016,M,9-Jan,Black Non Hispanic,Diseases of the Heart,1
2016,M,85+,Black Non Hispanic,CLRD,44
2016,F,35-44,Other Non Hispanic,Accidents,5
2016,M,<1,Hispanic,Pneumonia,1
2016,F,9-Jan,White Non Hispanic,Pneumonia,1
2016,F,45-54,Hispanic,CLRD,12
2016,M,35-44,White Non Hispanic,Pneumonia,9
2016,M,65-74,Black Non Hispanic,Malignant Neoplasms,687
2016,M,55-64,Not Stated,CLRD,7
2016,M,55-64,White Non Hispanic,Accidents,441
2016,M,85+,Black Non Hispanic,Diseases of the Heart,482
2016,M,<1,Black Non Hispanic,Malignant Neoplasms,2
2016,M,20-24,Black Non Hispanic,Malignant Neoplasms,7
2016,F,65-74,White Non Hispanic,Total,"8,223"
2016,M,20-24,Hispanic,Accidents,64
2016,M,35-44,Hispanic,Cerebrovascular Disease,13
2016,M,20-24,Black Non Hispanic,Accidents,28
2016,F,45-54,Other Non Hispanic,Accidents,8
2016,M,85+,Hispanic,CLRD,50
2016,M,<1,White Non Hispanic,All Other Causes,209
2016,M,25-34,Black Non Hispanic,Diseases of the Heart,44
2016,M,65-74,Not Stated,Cerebrovascular Disease,8
2016,F,<1,White Non Hispanic,Cerebrovascular Disease,2
2016,F,65-74,Black Non Hispanic,Accidents,21
2016,M,35-44,Black Non Hispanic,AIDS,14
2016,M,19-Oct,Other Non Hispanic,Accidents,1
2016,M,35-44,Hispanic,Total,469
2016,M,35-44,Hispanic,Diabetes Mellitus,1
2016,M,65-74,Hispanic,Malignant Neoplasms,422
2016,F,75-84,Hispanic,Malignant Neoplasms,382
2016,M,20-24,Other Non Hispanic,All Other Causes,14
2016,F,45-54,Black Non Hispanic,Total,911
2016,F,35-44,Hispanic,Accidents,33
2016,F,45-54,Black Non Hispanic,CLRD,19
2016,F,75-84,White Non Hispanic,Cerebrovascular Disease,652
2016,M,35-44,Black Non Hispanic,CLRD,7
2016,F,35-44,Other Non Hispanic,Malignant Neoplasms,42
2016,M,19-Oct,Black Non Hispanic,All Other Causes,63
2016,F,75-84,Other Non Hispanic,CLRD,20
2016,M,85+,Not Stated,Diseases of the Heart,61
2016,M,<1,Other Non Hispanic,All Other Causes,32
2016,M,25-34,White Non Hispanic,Cerebrovascular Disease,8
2016,F,75-84,Hispanic,Accidents,16
2016,F,55-64,Not Stated,Diseases of the Heart,18
2016,F,75-84,Black Non Hispanic,Cerebrovascular Disease,127
2016,F,<1,Hispanic,Accidents,6
2016,M,55-64,White Non Hispanic,AIDS,22
2016,F,85+,Hispanic,Pneumonia,78
2016,M,55-64,Black Non Hispanic,Accidents,161
2016,M,9-Jan,Hispanic,Total,33
2016,M,45-54,Other Non Hispanic,Pneumonia,3
2016,F,75-84,White Non Hispanic,Diseases of the Heart,"3,240"
2016,F,45-54,Not Stated,Malignant Neoplasms,14
2016,F,9-Jan,White Non Hispanic,Malignant Neoplasms,9
2016,M,35-44,White Non Hispanic,Malignant Neoplasms,145
2016,M,19-Oct,White Non Hispanic,Diseases of the Heart,2
2016,F,55-64,Hispanic,Diseases of the Heart,145
2016,M,55-64,Other Non Hispanic,Total,460
2016,M,35-44,Not Stated,Diseases of the Heart,11
2016,F,35-44,Other Non Hispanic,Cerebrovascular Disease,5
2016,M,55-64,Black Non Hispanic,Diseases of the Heart,608
2016,M,55-64,Not Stated,Diabetes Mellitus,2
2016,M,55-64,Not Stated,Malignant Neoplasms,71
2016,M,9-Jan,Hispanic,Malignant Neoplasms,3
2016,M,65-74,Black Non Hispanic,All Other Causes,546
2016,F,75-84,Black Non Hispanic,Malignant Neoplasms,560
2016,F,65-74,Other Non Hispanic,All Other Causes,91
2016,F,65-74,Black Non Hispanic,CLRD,81
2016,M,65-74,Not Stated,Pneumonia,5
2016,M,20-24,White Non Hispanic,Total,417
2016,M,75-84,Not Stated,Pneumonia,8
2016,F,35-44,White Non Hispanic,Cerebrovascular Disease,9
2016,F,85+,Black Non Hispanic,Malignant Neoplasms,358
2016,F,20-24,Other Non Hispanic,Total,16
2016,M,75-84,Black Non Hispanic,All Other Causes,525
2016,F,45-54,Black Non Hispanic,Diseases of the Heart,175
2016,F,9-Jan,Hispanic,CLRD,2
2016,M,75-84,Other Non Hispanic,Accidents,15
2016,F,9-Jan,White Non Hispanic,All Other Causes,33
2016,F,20-24,White Non Hispanic,All Other Causes,62
2016,M,35-44,White Non Hispanic,Total,"1,288"
2016,F,20-24,Black Non Hispanic,Diabetes Mellitus,1
2016,F,85+,White Non Hispanic,Accidents,540
2016,F,85+,Hispanic,Total,"2,151"
2016,M,45-54,White Non Hispanic,Cerebrovascular Disease,56
2016,F,85+,Other Non Hispanic,Accidents,21
2016,F,20-24,White Non Hispanic,Total,145
2016,F,65-74,Hispanic,Malignant Neoplasms,349
2016,M,25-34,Hispanic,Cerebrovascular Disease,5
2016,F,85+,Other Non Hispanic,Diseases of the Heart,354
2016,M,45-54,Other Non Hispanic,AIDS,2
2016,F,9-Jan,White Non Hispanic,Accidents,13
2016,M,35-44,Other Non Hispanic,Cerebrovascular Disease,4
2016,M,85+,Black Non Hispanic,AIDS,1
2016,M,65-74,White Non Hispanic,Malignant Neoplasms,"3,524"
2016,F,85+,Not Stated,Diseases of the Heart,113
2016,M,75-84,Other Non Hispanic,Cerebrovascular Disease,38
2016,F,65-74,Other Non Hispanic,CLRD,7
2016,F,25-34,Black Non Hispanic,AIDS,7
2016,F,25-34,Hispanic,AIDS,2
2016,F,55-64,White Non Hispanic,CLRD,242
2016,M,45-54,White Non Hispanic,Pneumonia,27
2016,F,75-84,Not Stated,Total,183
2016,F,55-64,White Non Hispanic,Diabetes Mellitus,27
2016,M,45-54,Other Non Hispanic,Accidents,22
2016,F,85+,Not Stated,Cerebrovascular Disease,9
2016,M,55-64,Hispanic,Cerebrovascular Disease,45
2016,F,35-44,Hispanic,Cerebrovascular Disease,8
2016,M,35-44,Black Non Hispanic,Accidents,69
2016,M,35-44,Black Non Hispanic,Cerebrovascular Disease,10
2016,M,19-Oct,Hispanic,Accidents,17
2016,M,9-Jan,White Non Hispanic,Pneumonia,3
2016,M,75-84,Hispanic,Total,"1,432"
2016,M,55-64,White Non Hispanic,Total,"7,162"
2016,M,45-54,Hispanic,CLRD,12
2016,M,85+,White Non Hispanic,Pneumonia,716
2016,F,19-Oct,White Non Hispanic,Diabetes Mellitus,1
2016,M,85+,Not Stated,All Other Causes,56
2016,M,20-24,White Non Hispanic,Malignant Neoplasms,14
2016,M,75-84,Black Non Hispanic,Diseases of the Heart,711
2016,F,85+,Hispanic,Accidents,21
2016,M,35-44,Black Non Hispanic,All Other Causes,201
2016,M,75-84,Not Stated,Diseases of the Heart,71
2016,M,85+,Hispanic,Total,"1,060"
2016,M,19-Oct,White Non Hispanic,CLRD,1
2016,M,9-Jan,Hispanic,Accidents,5
2016,F,75-84,Other Non Hispanic,Total,593
2016,F,85+,Hispanic,Diseases of the Heart,824
2016,M,55-64,Black Non Hispanic,Malignant Neoplasms,588
2016,M,25-34,Hispanic,Accidents,155
2016,F,45-54,Not Stated,Pneumonia,2
2016,M,19-Oct,Other Non Hispanic,All Other Causes,5
2016,F,20-24,Hispanic,Total,35
2016,F,25-34,White Non Hispanic,Diabetes Mellitus,2
2016,M,65-74,Hispanic,All Other Causes,368
2016,M,35-44,Hispanic,AIDS,15
2016,F,45-54,Hispanic,AIDS,11
2016,F,25-34,Other Non Hispanic,Malignant Neoplasms,15
2016,F,19-Oct,White Non Hispanic,Malignant Neoplasms,7
2016,F,65-74,Black Non Hispanic,Diseases of the Heart,542
2016,F,75-84,Other Non Hispanic,Diabetes Mellitus,5
2016,F,45-54,Black Non Hispanic,AIDS,38
2016,M,45-54,Other Non Hispanic,Malignant Neoplasms,75
2016,F,9-Jan,Other Non Hispanic,Total,13
2016,M,19-Oct,Black Non Hispanic,CLRD,6
2016,M,65-74,Not Stated,All Other Causes,49
2016,M,25-34,Hispanic,All Other Causes,149
2016,F,85+,White Non Hispanic,Diabetes Mellitus,91
2016,F,85+,Other Non Hispanic,CLRD,27
2016,M,45-54,Hispanic,All Other Causes,250
2016,M,35-44,Not Stated,Total,44
2016,F,25-34,Hispanic,Pneumonia,2
2016,M,65-74,White Non Hispanic,Total,"10,583"
2016,F,35-44,Other Non Hispanic,Diseases of the Heart,3
2016,M,75-84,Not Stated,Cerebrovascular Disease,10
2016,M,25-34,White Non Hispanic,Diabetes Mellitus,2
2016,M,65-74,Hispanic,Diseases of the Heart,409
2016,F,55-64,White Non Hispanic,Cerebrovascular Disease,104
2016,F,55-64,White Non Hispanic,Accidents,202
2016,M,75-84,Other Non Hispanic,AIDS,1
2016,F,25-34,Black Non Hispanic,Diseases of the Heart,18
2016,F,35-44,Hispanic,Malignant Neoplasms,60
2016,M,65-74,Black Non Hispanic,CLRD,79
2016,F,65-74,Hispanic,AIDS,4
2016,F,20-24,Not Stated,All Other Causes,1
2016,M,65-74,Other Non Hispanic,AIDS,1
2016,F,19-Oct,Other Non Hispanic,Total,7
2016,F,45-54,Hispanic,Total,454
2016,F,20-24,Black Non Hispanic,Diseases of the Heart,3
2016,M,9-Jan,Other Non Hispanic,All Other Causes,1
2016,F,65-74,Hispanic,Total,"1,002"
2016,M,20-24,White Non Hispanic,CLRD,2
2016,F,45-54,Other Non Hispanic,All Other Causes,50
2016,F,25-34,Hispanic,CLRD,2
2016,M,45-54,Hispanic,Diseases of the Heart,161
2016,F,65-74,Hispanic,Diseases of the Heart,230
2016,F,75-84,Hispanic,Total,"1,625"
2016,M,20-24,Hispanic,Diseases of the Heart,3
2016,F,9-Jan,Not Stated,All Other Causes,3
2016,F,55-64,Black Non Hispanic,Total,"1,626"
2016,F,35-44,White Non Hispanic,Diabetes Mellitus,1
2016,M,55-64,Other Non Hispanic,AIDS,1
2016,M,45-54,Black Non Hispanic,Diseases of the Heart,321
2016,M,9-Jan,White Non Hispanic,Accidents,14
2016,M,45-54,Not Stated,Malignant Neoplasms,16
2016,F,35-44,White Non Hispanic,Pneumonia,4
2016,M,20-24,Black Non Hispanic,Pneumonia,1
2016,F,85+,Other Non Hispanic,All Other Causes,333
2016,F,35-44,Black Non Hispanic,Pneumonia,5
2016,M,35-44,Other Non Hispanic,Accidents,15
2016,M,9-Jan,Not Stated,Total,3
2016,F,75-84,Black Non Hispanic,AIDS,2
2016,M,85+,Other Non Hispanic,CLRD,32
2016,F,20-24,Not Stated,Cerebrovascular Disease,1
2016,M,45-54,Other Non Hispanic,Total,225
2016,F,35-44,White Non Hispanic,AIDS,5
2016,M,<1,Other Non Hispanic,Diseases of the Heart,1
2016,F,55-64,Other Non Hispanic,Pneumonia,3
2016,M,75-84,White Non Hispanic,Diseases of the Heart,"3,934"
2016,M,35-44,Other Non Hispanic,Diseases of the Heart,14
2016,F,20-24,Other Non Hispanic,All Other Causes,14
2016,F,85+,Hispanic,CLRD,73
2016,F,45-54,Other Non Hispanic,Diabetes Mellitus,2
2016,F,75-84,Other Non Hispanic,Accidents,13
2016,F,19-Oct,Not Stated,Total,3
2016,M,25-34,White Non Hispanic,Pneumonia,8
2016,M,20-24,Not Stated,Accidents,6
2016,F,35-44,Hispanic,Pneumonia,2
2016,F,65-74,Not Stated,Diabetes Mellitus,1
2016,F,65-74,Not Stated,All Other Causes,48
2016,F,<1,White Non Hispanic,All Other Causes,172
2016,M,75-84,Not Stated,Accidents,2
2016,F,9-Jan,Black Non Hispanic,Total,28
2016,M,85+,Not Stated,Malignant Neoplasms,12
2016,M,75-84,Other Non Hispanic,Malignant Neoplasms,204
2016,F,85+,Hispanic,Cerebrovascular Disease,115
2016,F,45-54,White Non Hispanic,Total,"1,905"
2016,F,65-74,Black Non Hispanic,Malignant Neoplasms,670
2016,M,45-54,Black Non Hispanic,Diabetes Mellitus,7
2016,F,45-54,Other Non Hispanic,Pneumonia,2
2016,F,75-84,Hispanic,CLRD,53
2016,F,45-54,Hispanic,Malignant Neoplasms,152
2016,M,75-84,White Non Hispanic,All Other Causes,"3,708"
2016,F,85+,White Non Hispanic,Total,"27,858"
2016,M,35-44,Not Stated,Cerebrovascular Disease,3
2016,F,85+,Not Stated,Accidents,7
2016,F,20-24,Not Stated,Total,2
2016,F,<1,Black Non Hispanic,Accidents,3
2016,F,65-74,Not Stated,Cerebrovascular Disease,7
2016,M,75-84,White Non Hispanic,Total,"13,169"
2016,M,25-34,Hispanic,AIDS,4
2016,F,19-Oct,Other Non Hispanic,Accidents,1
2016,M,85+,Not Stated,Accidents,2
2016,F,75-84,Black Non Hispanic,Accidents,21
2016,M,9-Jan,White Non Hispanic,Diseases of the Heart,3
2016,M,55-64,White Non Hispanic,Malignant Neoplasms,"2,242"
2016,F,35-44,Not Stated,Malignant Neoplasms,7
2016,M,45-54,Not Stated,Cerebrovascular Disease,5
2016,F,<1,Other Non Hispanic,Total,30
2016,F,25-34,Other Non Hispanic,Total,50
2016,M,25-34,Black Non Hispanic,Diabetes Mellitus,3
2016,M,85+,Hispanic,Pneumonia,57
2016,M,55-64,Hispanic,Diabetes Mellitus,8
2016,M,75-84,Hispanic,AIDS,6
2016,M,55-64,Black Non Hispanic,AIDS,74
2016,F,75-84,Hispanic,Cerebrovascular Disease,69
2016,M,85+,Hispanic,Malignant Neoplasms,181
2016,F,9-Jan,Black Non Hispanic,Accidents,9
2016,F,25-34,White Non Hispanic,Malignant Neoplasms,57
2016,F,25-34,White Non Hispanic,All Other Causes,188
2016,F,55-64,Hispanic,Accidents,22
2016,F,45-54,Hispanic,Pneumonia,9
2016,M,85+,Not Stated,Cerebrovascular Disease,6
2016,M,75-84,Not Stated,All Other Causes,69
2016,M,75-84,Not Stated,AIDS,1
2016,F,<1,White Non Hispanic,Pneumonia,1
2016,M,85+,White Non Hispanic,Diabetes Mellitus,85
2016,M,55-64,Hispanic,Total,"1,295"
2016,M,55-64,White Non Hispanic,Diseases of the Heart,"1,862"
2016,M,75-84,Other Non Hispanic,All Other Causes,196
2016,F,75-84,Not Stated,Cerebrovascular Disease,10
2016,F,55-64,Not Stated,All Other Causes,26
2016,M,75-84,Not Stated,Diabetes Mellitus,3
2016,F,25-34,White Non Hispanic,Cerebrovascular Disease,4
2016,F,55-64,Other Non Hispanic,Accidents,8
2016,F,75-84,Black Non Hispanic,Pneumonia,72
2016,F,25-34,Not Stated,Diseases of the Heart,1
2016,M,85+,White Non Hispanic,CLRD,726
2016,F,35-44,Hispanic,All Other Causes,84
2016,M,19-Oct,White Non Hispanic,Total,199
2016,F,35-44,Black Non Hispanic,All Other Causes,133
2016,F,35-44,Not Stated,AIDS,1
2016,F,85+,Not Stated,All Other Causes,98
2016,M,35-44,White Non Hispanic,Cerebrovascular Disease,15
2016,F,20-24,White Non Hispanic,Accidents,66
2016,M,65-74,Other Non Hispanic,Pneumonia,22
2016,M,25-34,Not Stated,Diseases of the Heart,2
2016,F,75-84,Hispanic,Diabetes Mellitus,15
2016,F,19-Oct,Black Non Hispanic,Total,43
2016,F,<1,Other Non Hispanic,Pneumonia,1
2016,F,45-54,White Non Hispanic,AIDS,6
2016,M,20-24,Other Non Hispanic,Total,36
2016,M,25-34,White Non Hispanic,Total,"1,142"
2016,M,85+,Not Stated,Total,152
2016,F,55-64,White Non Hispanic,Diseases of the Heart,741
2016,F,85+,Black Non Hispanic,Cerebrovascular Disease,155
2016,M,55-64,Black Non Hispanic,Total,"2,179"
2016,F,75-84,Black Non Hispanic,Diabetes Mellitus,17
2016,F,85+,Hispanic,Malignant Neoplasms,209
2016,M,45-54,Not Stated,Accidents,8
2016,M,55-64,Black Non Hispanic,Pneumonia,57
2016,M,25-34,Black Non Hispanic,AIDS,21
2016,F,75-84,Other Non Hispanic,Diseases of the Heart,162
2016,F,75-84,Not Stated,Malignant Neoplasms,35
2016,M,75-84,Not Stated,Total,209
2016,M,35-44,Black Non Hispanic,Pneumonia,3
2016,F,45-54,Hispanic,Accidents,49
2016,M,<1,White Non Hispanic,Cerebrovascular Disease,3
2016,M,35-44,White Non Hispanic,Diseases of the Heart,173
2016,F,45-54,Other Non Hispanic,Malignant Neoplasms,76
2016,M,85+,White Non Hispanic,Cerebrovascular Disease,743
2016,M,75-84,Black Non Hispanic,Pneumonia,88
2016,F,55-64,Other Non Hispanic,All Other Causes,43
2016,M,75-84,Not Stated,CLRD,5
2016,M,65-74,Black Non Hispanic,AIDS,31
2016,M,65-74,White Non Hispanic,All Other Causes,"2,703"
2016,M,65-74,Other Non Hispanic,Diabetes Mellitus,3
2016,F,45-54,Not Stated,All Other Causes,15
2016,M,65-74,White Non Hispanic,Diseases of the Heart,"2,869"
2016,M,35-44,Not Stated,Accidents,5
2016,F,55-64,Hispanic,Cerebrovascular Disease,25
2016,M,9-Jan,Not Stated,Malignant Neoplasms,1
2016,F,65-74,Other Non Hispanic,Malignant Neoplasms,151
2016,M,19-Oct,Hispanic,Total,68
2016,M,20-24,Not Stated,All Other Causes,4
2016,M,85+,White Non Hispanic,Malignant Neoplasms,"2,617"
2016,M,65-74,Hispanic,AIDS,11
2016,M,<1,Hispanic,Diseases of the Heart,1
2016,F,85+,Other Non Hispanic,Total,998
2016,M,9-Jan,White Non Hispanic,All Other Causes,35
2016,F,75-84,Black Non Hispanic,Diseases of the Heart,839
2016,M,65-74,Other Non Hispanic,CLRD,20
2016,F,25-34,Hispanic,Cerebrovascular Disease,2
2016,M,45-54,White Non Hispanic,Total,"3,161"
2016,M,45-54,Black Non Hispanic,Accidents,127
2016,F,25-34,Black Non Hispanic,Accidents,27
2016,M,55-64,Other Non Hispanic,Pneumonia,14
2016,F,65-74,Hispanic,All Other Causes,282
2016,F,55-64,Not Stated,AIDS,2
2016,F,55-64,Black Non Hispanic,CLRD,61
2016,M,85+,Other Non Hispanic,Accidents,16
2016,M,75-84,Black Non Hispanic,Total,"2,034"
2016,F,45-54,Other Non Hispanic,Cerebrovascular Disease,9
2016,M,35-44,Hispanic,Diseases of the Heart,51
2016,F,19-Oct,White Non Hispanic,Cerebrovascular Disease,2
2016,F,75-84,Not Stated,Diabetes Mellitus,2
2016,M,65-74,Hispanic,Diabetes Mellitus,13
2016,F,65-74,Not Stated,Accidents,1
2015,M,<1,White Non Hispanic,All Other Causes,207
2015,M,<1,White Non Hispanic,Total,229
2015,F,9-Jan,Black Non Hispanic,Diseases of the Heart,1
2015,F,9-Jan,Black Non Hispanic,CLRD,2
2015,F,9-Jan,Black Non Hispanic,Malignant Neoplasms,3
2015,F,9-Jan,Black Non Hispanic,Accidents,6
2015,F,9-Jan,Black Non Hispanic,All Other Causes,16
2015,F,9-Jan,Black Non Hispanic,Total,28
2015,F,9-Jan,Hispanic,Diseases of the Heart,1
2015,F,9-Jan,Hispanic,Cerebrovascular Disease,2
2015,F,9-Jan,Hispanic,Malignant Neoplasms,5
2015,F,9-Jan,Hispanic,Accidents,9
2015,F,9-Jan,Hispanic,All Other Causes,18
2015,F,9-Jan,Hispanic,Total,35
2015,F,9-Jan,Not Stated,Cerebrovascular Disease,1
2015,F,9-Jan,Not Stated,Total,1
2015,F,9-Jan,Other Non Hispanic,Diseases of the Heart,1
2015,F,9-Jan,Other Non Hispanic,Malignant Neoplasms,1
2015,F,9-Jan,Other Non Hispanic,Pneumonia,1
2015,F,9-Jan,Other Non Hispanic,All Other Causes,8
2015,F,9-Jan,Other Non Hispanic,Total,11
2015,F,9-Jan,White Non Hispanic,Cerebrovascular Disease,1
2015,F,9-Jan,White Non Hispanic,Pneumonia,1
2015,F,9-Jan,White Non Hispanic,Diseases of the Heart,3
2015,F,9-Jan,White Non Hispanic,Accidents,13
2015,F,9-Jan,White Non Hispanic,Malignant Neoplasms,14
2015,F,9-Jan,White Non Hispanic,All Other Causes,29
2015,F,9-Jan,White Non Hispanic,Total,61
2015,F,19-Oct,Black Non Hispanic,Cerebrovascular Disease,1
2015,F,19-Oct,Black Non Hispanic,Diseases of the Heart,1
2015,F,19-Oct,Black Non Hispanic,Malignant Neoplasms,2
2015,F,19-Oct,Black Non Hispanic,CLRD,4
2015,F,19-Oct,Black Non Hispanic,Accidents,8
2015,F,19-Oct,Black Non Hispanic,All Other Causes,22
2015,F,19-Oct,Black Non Hispanic,Total,38
2015,F,19-Oct,Hispanic,Diseases of the Heart,2
2015,F,19-Oct,Hispanic,Malignant Neoplasms,4
2015,F,19-Oct,Hispanic,Accidents,10
2015,F,19-Oct,Hispanic,All Other Causes,18
2015,F,19-Oct,Hispanic,Total,34
2015,F,19-Oct,Not Stated,Accidents,1
2015,F,19-Oct,Not Stated,All Other Causes,1
2015,F,19-Oct,Not Stated,Total,2
2015,F,19-Oct,Other Non Hispanic,All Other Causes,2
2015,F,19-Oct,Other Non Hispanic,Malignant Neoplasms,2
2015,F,19-Oct,Other Non Hispanic,Total,4
2015,F,19-Oct,White Non Hispanic,Diseases of the Heart,2
2015,F,19-Oct,White Non Hispanic,Pneumonia,5
2015,F,19-Oct,White Non Hispanic,Malignant Neoplasms,14
2015,F,19-Oct,White Non Hispanic,All Other Causes,41
2015,F,19-Oct,White Non Hispanic,Accidents,42
2015,F,19-Oct,White Non Hispanic,Total,104
2015,F,20-24,Black Non Hispanic,AIDS,2
2015,F,20-24,Black Non Hispanic,Pneumonia,2
2015,F,20-24,Black Non Hispanic,CLRD,4
2015,F,20-24,Black Non Hispanic,Malignant Neoplasms,5
2015,F,20-24,Black Non Hispanic,Diseases of the Heart,6
2015,F,20-24,Black Non Hispanic,Accidents,7
2015,F,20-24,Black Non Hispanic,All Other Causes,31
2015,F,20-24,Black Non Hispanic,Total,57
2015,F,20-24,Hispanic,AIDS,1
2015,F,20-24,Hispanic,CLRD,1
2015,F,20-24,Hispanic,Pneumonia,1
2015,F,20-24,Hispanic,Cerebrovascular Disease,2
2015,F,20-24,Hispanic,Malignant Neoplasms,7
2015,F,20-24,Hispanic,Accidents,19
2015,F,20-24,Hispanic,All Other Causes,32
2015,F,20-24,Hispanic,Total,63
2015,F,20-24,Not Stated,AIDS,1
2015,F,20-24,Not Stated,Accidents,1
2015,F,20-24,Not Stated,Malignant Neoplasms,1
2015,F,20-24,Not Stated,All Other Causes,2
2015,F,20-24,Not Stated,Total,5
2015,F,20-24,Other Non Hispanic,Accidents,2
2015,F,20-24,Other Non Hispanic,Diseases of the Heart,2
2015,F,20-24,Other Non Hispanic,Malignant Neoplasms,2
2015,F,20-24,Other Non Hispanic,All Other Causes,9
2015,F,20-24,Other Non Hispanic,Total,15
2015,F,20-24,White Non Hispanic,Pneumonia,1
2015,F,20-24,White Non Hispanic,CLRD,2
2015,F,20-24,White Non Hispanic,Cerebrovascular Disease,2
2015,F,20-24,White Non Hispanic,Diseases of the Heart,4
2015,F,20-24,White Non Hispanic,Malignant Neoplasms,6
2015,F,20-24,White Non Hispanic,All Other Causes,46
2015,F,20-24,White Non Hispanic,Accidents,59
2015,F,20-24,White Non Hispanic,Total,120
2015,F,25-34,Black Non Hispanic,Diabetes Mellitus,1
2015,F,25-34,Black Non Hispanic,Pneumonia,1
2015,F,25-34,Black Non Hispanic,CLRD,2
2015,F,25-34,Black Non Hispanic,Cerebrovascular Disease,2
2015,F,25-34,Black Non Hispanic,AIDS,5
2015,F,25-34,Black Non Hispanic,Accidents,21
2015,F,25-34,Black Non Hispanic,Diseases of the Heart,25
2015,F,25-34,Black Non Hispanic,Malignant Neoplasms,29
2015,F,25-34,Black Non Hispanic,All Other Causes,92
2015,F,25-34,Black Non Hispanic,Total,178
2015,F,25-34,Hispanic,Cerebrovascular Disease,2
2015,F,25-34,Hispanic,Diabetes Mellitus,2
2015,F,25-34,Hispanic,AIDS,3
2015,F,25-34,Hispanic,CLRD,3
2015,F,25-34,Hispanic,Diseases of the Heart,6
2015,F,25-34,Hispanic,Malignant Neoplasms,23
2015,F,25-34,Hispanic,Accidents,33
2015,F,25-34,Hispanic,All Other Causes,60
2015,F,25-34,Hispanic,Total,132
2015,F,25-34,Not Stated,Diseases of the Heart,1
2015,F,25-34,Not Stated,Malignant Neoplasms,1
2015,F,25-34,Not Stated,All Other Causes,5
2015,F,25-34,Not Stated,Total,7
2015,F,25-34,Other Non Hispanic,Diseases of the Heart,1
2015,F,25-34,Other Non Hispanic,Accidents,5
2015,F,25-34,Other Non Hispanic,Malignant Neoplasms,8
2015,F,25-34,Other Non Hispanic,All Other Causes,17
2015,F,25-34,Other Non Hispanic,Total,31
2015,F,25-34,White Non Hispanic,AIDS,1
2015,F,25-34,White Non Hispanic,CLRD,1
2015,F,25-34,White Non Hispanic,Diabetes Mellitus,1
2015,F,25-34,White Non Hispanic,Pneumonia,2
2015,F,25-34,White Non Hispanic,Cerebrovascular Disease,7
2015,F,25-34,White Non Hispanic,Diseases of the Heart,26
2015,F,25-34,White Non Hispanic,Malignant Neoplasms,43
2015,F,25-34,White Non Hispanic,All Other Causes,150
2015,F,25-34,White Non Hispanic,Accidents,162
2015,F,25-34,White Non Hispanic,Total,393
2015,F,35-44,Black Non Hispanic,Diabetes Mellitus,1
2015,F,35-44,Black Non Hispanic,Pneumonia,2
2015,F,35-44,Black Non Hispanic,CLRD,10
2015,F,35-44,Black Non Hispanic,Cerebrovascular Disease,10
